china_main,China Main,china_main
northern_europe,Northern Europe,northern_europe
scandinavia,Scandinavia,northern_europe
baltic,Baltic,northern_europe
stockholm_area,Stockholm Area,scandinavia
north_europe_sub,North Europe Sub,northern_europe
uk_sub,UK Sub,north_europe_sub
finland_main,Finland Main,baltic
baltic_main,Baltic Main,baltic
poland_main,Poland Main,baltic
kattegat,Kattegat,scandinavia
norway_north_west,Norway North West,scandinavia
norway_south_east,Norway South East,scandinavia
norway_south_west,Norway South West,scandinavia
north_europe_main,North Europe Main,northern_europe
uk_main,UK Main,north_europe_main
russia_north_west,Russia North West,northern_europe
china_east_main,China East Main,china_main
china_south_main,China South Main,china_main
china_north_main,China North Main,china_main
